# scenario	url	round	wall_ms	out_chars	tier	peak_rss_kb
tier1	https://example.com	1	618	176	http	
tier2	https://example.com	1	958	125	browser	
auto	https://example.com	1	547	176	http	
chrome	https://example.com	1	4268	139	-	1902480
tier1	https://github.com/yinnho/aginxbrowser	1	1505	30151	http	
tier2	https://github.com/yinnho/aginxbrowser	1	3599	18281	browser	
auto	https://github.com/yinnho/aginxbrowser	1	853	30151	http	
chrome	https://github.com/yinnho/aginxbrowser	1	59402	20145	-	2376352
tier1	https://www.rust-lang.org/	1	617	4987	http	
tier2	https://www.rust-lang.org/	1	919	3452	browser	
auto	https://www.rust-lang.org/	1	397	4987	http	
chrome	https://www.rust-lang.org/	1	3280	3384	-	2157776
tier1	https://doc.rust-lang.org/book/title-page.html	1	1237	1589	http	
tier2	https://doc.rust-lang.org/book/title-page.html	1	1967	4969	browser	
auto	https://doc.rust-lang.org/book/title-page.html	1	532	1589	http	
chrome	https://doc.rust-lang.org/book/title-page.html	1	3684	4874	-	2225152
tier1	https://blog.rust-lang.org/	1	530	72820	http	
tier2	https://blog.rust-lang.org/	1	911	15847	browser	
auto	https://blog.rust-lang.org/	1	223	72820	http	
chrome	https://blog.rust-lang.org/	1	2608	15060	-	2129712
tier1	https://www.python.org/	1	528	8357	http	
tier2	https://www.python.org/	1	20248	6738	browser	
auto	https://www.python.org/	1	160	8357	http	
chrome	https://www.python.org/	1	90005	0	-	2129104
tier1	https://nodejs.org/en	1	1091	5162	http	
tier2	https://nodejs.org/en	1	2998	3126	browser	
auto	https://nodejs.org/en	1	573	5162	http	
chrome	https://nodejs.org/en	1	4189	3002	-	2120240
tier1	https://react.dev/	1	587	17643	http	
tier2	https://react.dev/	1	1160	0	browser	
auto	https://react.dev/	1	330	17643	http	
chrome	https://react.dev/	1	90005	0	-	2151280
tier1	https://vuejs.org/	1	528	2856	http	
tier2	https://vuejs.org/	1	2281	1958	browser	
auto	https://vuejs.org/	1	262	2856	http	
chrome	https://vuejs.org/	1	6552	1976	-	2146592
tier1	https://tailwindcss.com/	1	1937	19485	http	
tier2	https://tailwindcss.com/	1	3230	7564	browser	
auto	https://tailwindcss.com/	1	809	19485	http	
chrome	https://tailwindcss.com/	1	6366	7306	-	2268752
tier1	https://nextjs.org/	1	918	44056	http	
tier2	https://nextjs.org/	1	1965	6884	browser	
auto	https://nextjs.org/	1	359	44056	http	
chrome	https://nextjs.org/	1	4074	6902	-	2323312
tier1	https://vitejs.dev/	1	1391	10194	http	
tier2	https://vitejs.dev/	1	1399	3697	browser	
auto	https://vitejs.dev/	1	550	10194	http	
chrome	https://vitejs.dev/	1	89699	3920	-	2220848
tier1	https://bun.sh/	1	1276	29368	http	
tier2	https://bun.sh/	1	3886	0	browser	
auto	https://bun.sh/	1	626	29368	http	
chrome	https://bun.sh/	1	90005	0	-	2224256
tier1	https://www.typescriptlang.org/	1	378	10533	http	
tier2	https://www.typescriptlang.org/	1	1165	4804	browser	
auto	https://www.typescriptlang.org/	1	263	10533	http	
chrome	https://www.typescriptlang.org/	1	4353	5020	-	2165008
tier1	https://www.sqlite.org/docs.html	1	1976	20624	http	
tier2	https://www.sqlite.org/docs.html	1	2454	16960	browser	
auto	https://www.sqlite.org/docs.html	1	1062	20624	http	
